Package : org.apache.commons.collections4,  Class : ComparatorUtils, Fields Without Getter : [EMPTY_COMPARATOR_ARRAY]
Package : org.apache.commons.collections4.functors,  Class : NullPredicate, Fields Without Getter : [SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : NullIsExceptionPredicate, Fields Without Getter : [IPredicate, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : SwitchClosure, Fields Without Getter : [IPredicates, IClosures, IDefault, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : NullIsFalsePredicate, Fields Without Getter : [IPredicate, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : ExceptionClosure, Fields Without Getter : [SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : InvokerTransformer, Fields Without Getter : [IArgs, IParamTypes, IMethodName]
Package : org.apache.commons.collections4.functors,  Class : WhileClosure, Fields Without Getter : [IPredicate, IClosure, IDoLoop]
Package : org.apache.commons.collections4.functors,  Class : TruePredicate, Fields Without Getter : [SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : IfClosure, Fields Without Getter : [IPredicate, IFalseClosure, ITrueClosure, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : NotPredicate, Fields Without Getter : [IPredicate, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : ExceptionFactory, Fields Without Getter : [SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : NOPClosure, Fields Without Getter : [SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : DefaultEquator, Fields Without Getter : [SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : TransformerClosure, Fields Without Getter : [ITransformer, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : FactoryTransformer, Fields Without Getter : [IFactory, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : AbstractQuantifierPredicate, Fields Without Getter : [SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : ClosureTransformer, Fields Without Getter : [IClosure, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : EqualPredicate, Fields Without Getter : [IValue, SerialVersionUID, Equator]
Package : org.apache.commons.collections4.functors,  Class : FalsePredicate, Fields Without Getter : [SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : PredicateTransformer, Fields Without Getter : [IPredicate, SerialVersionUID]
Package : org.apache.commons.collections4.functors,  Class : OrPredicate, Fields Without Getter : [IPredicate2, IPredicate1, SerialVersionUID]
