Field: PAD, Class: org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, Package: org.apache.commons.math4.userguide
Field: clusters, Class: org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, Package: org.apache.commons.math4.userguide
Field: duration, Class: org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, Package: org.apache.commons.math4.userguide
Field: RUNS, Class: org.apache.commons.math4.userguide.FastMathTestPerformance, Package: org.apache.commons.math4.userguide
Field: F1, Class: org.apache.commons.math4.userguide.FastMathTestPerformance, Package: org.apache.commons.math4.userguide
Field: FMT_HDR, Class: org.apache.commons.math4.userguide.FastMathTestPerformance, Package: org.apache.commons.math4.userguide
Field: FMT_DTL, Class: org.apache.commons.math4.userguide.FastMathTestPerformance, Package: org.apache.commons.math4.userguide
Field: gravity, Class: org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, Package: org.apache.commons.math4.userguide.filter
Field: velocity, Class: org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, Package: org.apache.commons.math4.userguide.filter
Field: location, Class: org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, Package: org.apache.commons.math4.userguide.filter
Field: timeslice, Class: org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, Package: org.apache.commons.math4.userguide.filter
Field: measurementNoise, Class: org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, Package: org.apache.commons.math4.userguide.filter
Field: rng, Class: org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, Package: org.apache.commons.math4.userguide.filter
Field: container, Class: org.apache.commons.math4.userguide.filter.CannonballExample.Display, Package: org.apache.commons.math4.userguide.filter
Field: initialVoltage, Class: org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, Package: org.apache.commons.math4.userguide.filter
Field: processNoise, Class: org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, Package: org.apache.commons.math4.userguide.filter
Field: measurementNoise, Class: org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, Package: org.apache.commons.math4.userguide.filter
Field: rng, Class: org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, Package: org.apache.commons.math4.userguide.filter
Field: container, Class: org.apache.commons.math4.userguide.filter.ConstantVoltageExample.Display, Package: org.apache.commons.math4.userguide.filter
Field: ga, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: currentPopulation, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: bestFit, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: internalThread, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: noStopRequested, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: ref, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: referenceImage, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: testImage, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: painter, Class: org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, Package: org.apache.commons.math4.userguide.genetics
Field: data, Class: org.apache.commons.math4.userguide.genetics.Polygon, Package: org.apache.commons.math4.userguide.genetics
Field: refImage, Class: org.apache.commons.math4.userguide.genetics.PolygonChromosome, Package: org.apache.commons.math4.userguide.genetics
Field: testImage, Class: org.apache.commons.math4.userguide.genetics.PolygonChromosome, Package: org.apache.commons.math4.userguide.genetics
Field: mutationRate, Class: org.apache.commons.math4.userguide.genetics.RandomPolygonMutation, Package: org.apache.commons.math4.userguide.genetics
Field: mutationAmount, Class: org.apache.commons.math4.userguide.genetics.RandomPolygonMutation, Package: org.apache.commons.math4.userguide.genetics
Field: PAD, Class: org.apache.commons.math4.userguide.LowDiscrepancyGeneratorComparison.Plot, Package: org.apache.commons.math4.userguide
Field: points, Class: org.apache.commons.math4.userguide.LowDiscrepancyGeneratorComparison.Plot, Package: org.apache.commons.math4.userguide
