Package;Class;Method;Cyclomatic Complexity
org.apache.commons.collections4;GuavaTestlibTest;suite;1
org.apache.commons.collections4;GuavaTestlibTest;suiteList;1
org.apache.commons.collections4;GuavaTestlibTest;suiteMap;2
org.apache.commons.collections4;ListUtilsTest;setUp;1
org.apache.commons.collections4;ListUtilsTest;testDefaultIfNull;1
org.apache.commons.collections4;ListUtilsTest;testEmptyIfNull;1
org.apache.commons.collections4;ListUtilsTest;testEquals;1
org.apache.commons.collections4;ListUtilsTest;testGetFirst;1
org.apache.commons.collections4;ListUtilsTest;testGetLast;1
org.apache.commons.collections4;ListUtilsTest;testHashCode;1
org.apache.commons.collections4;ListUtilsTest;testIndexOf;1
org.apache.commons.collections4;ListUtilsTest;testIntersectEmptyWithEmptyList;1
org.apache.commons.collections4;ListUtilsTest;testIntersectionOrderInsensitivity;1
org.apache.commons.collections4;ListUtilsTest;testIntersectListWithNoOverlapAndDifferentTypes;1
org.apache.commons.collections4;ListUtilsTest;testIntersectListWithSelf;1
org.apache.commons.collections4;ListUtilsTest;testIntersectNonEmptySubset;1
org.apache.commons.collections4;ListUtilsTest;testIntersectNonEmptyWithEmptyList;1
org.apache.commons.collections4;ListUtilsTest;testLazyFactoryList;1
org.apache.commons.collections4;ListUtilsTest;testLazyTransformerList;1
org.apache.commons.collections4;ListUtilsTest;testLongestCommonSubsequence;1
org.apache.commons.collections4;ListUtilsTest;testLongestCommonSubsequenceWithString;1
org.apache.commons.collections4;ListUtilsTest;testPartition;2
org.apache.commons.collections4;ListUtilsTest;testPredicatedList;1
org.apache.commons.collections4;ListUtilsTest;testRemoveAll;1
org.apache.commons.collections4;ListUtilsTest;testRetainAll;1
org.apache.commons.collections4;ListUtilsTest;testSelect;1
org.apache.commons.collections4;ListUtilsTest;testSelectRejected;1
org.apache.commons.collections4;ListUtilsTest;testSubtract;1
org.apache.commons.collections4;ListUtilsTest;testSubtractNullElement;1
org.apache.commons.collections4;ListUtilsTest;testSum;1
org.apache.commons.collections4;ListUtilsTest;testUnion;1
org.apache.commons.collections4;MultiSetUtilsTest;setUp;1
org.apache.commons.collections4;MultiSetUtilsTest;testEmptyMultiSet;1
org.apache.commons.collections4;MultiSetUtilsTest;testPredicatedMultiSet;1
org.apache.commons.collections4;MultiSetUtilsTest;testSynchronizedMultiSet;1
org.apache.commons.collections4;MultiSetUtilsTest;testUnmodifiableMultiSet;1
org.apache.commons.collections4;BulkTest;getName;1
org.apache.commons.collections4;BulkTest;toString;1
org.apache.commons.collections4.trie;PatriciaTrieTest;getCompatibilityVersion;1
org.apache.commons.collections4.trie;PatriciaTrieTest;isAllowNullKey;1
org.apache.commons.collections4.trie;PatriciaTrieTest;makeObject;1
org.apache.commons.collections4.trie;PatriciaTrieTest;testPrefixMap;2
org.apache.commons.collections4.trie;PatriciaTrieTest;testPrefixMapClear;1
org.apache.commons.collections4.trie;PatriciaTrieTest;testPrefixMapClearNothing;1
org.apache.commons.collections4.trie;PatriciaTrieTest;testPrefixMapClearUsingRemove;2
org.apache.commons.collections4.trie;PatriciaTrieTest;testPrefixMapRemoval;2
org.apache.commons.collections4.trie;PatriciaTrieTest;testPrefixMapSizes;1
org.apache.commons.collections4.trie;PatriciaTrieTest;testPrefixMapSizes2;1
org.apache.commons.collections4.trie;UnmodifiableTrieTest;getCompatibilityVersion;1
org.apache.commons.collections4.trie;UnmodifiableTrieTest;isPutAddSupported;1
org.apache.commons.collections4.trie;UnmodifiableTrieTest;isPutChangeSupported;1
org.apache.commons.collections4.trie;UnmodifiableTrieTest;isRemoveSupported;1
org.apache.commons.collections4.trie;UnmodifiableTrieTest;makeFullMap;1
org.apache.commons.collections4.trie;UnmodifiableTrieTest;makeObject;1
org.apache.commons.collections4.trie;UnmodifiableTrieTest;testDecorateFactory;1
org.apache.commons.collections4.trie;UnmodifiableTrieTest;testUnmodifiable;1
org.apache.commons.collections4.trie;PatriciaTrie2Test;getCompatibilityVersion;1
org.apache.commons.collections4.trie;PatriciaTrie2Test;isAllowNullKey;1
org.apache.commons.collections4.trie;PatriciaTrie2Test;makeObject;1
org.apache.commons.collections4.sequence;SequencesComparatorTest;sequence;2
org.apache.commons.collections4.sequence;SequencesComparatorTest;setUp;1
org.apache.commons.collections4.sequence;SequencesComparatorTest;tearDown;1
org.apache.commons.collections4.sequence;SequencesComparatorTest;testExecution;2
org.apache.commons.collections4.sequence;SequencesComparatorTest;testLength;2
org.apache.commons.collections4.sequence;SequencesComparatorTest;testMinimal;4
org.apache.commons.collections4.sequence;SequencesComparatorTest;testShadok;7
org.apache.commons.collections4.sequence;ExecutionVisitor;getString;2
org.apache.commons.collections4.sequence;ExecutionVisitor;setList;1
org.apache.commons.collections4.sequence;ExecutionVisitor;visitDeleteCommand;1
org.apache.commons.collections4.sequence;ExecutionVisitor;visitInsertCommand;1
org.apache.commons.collections4.sequence;ExecutionVisitor;visitKeepCommand;1
org.apache.commons.collections4;ClosureUtilsTest;testChainedClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testDoWhileClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testExceptionClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testForClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testIfClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testInvokeClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testNopClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testSingletonPatternInSerialization;2
org.apache.commons.collections4;ClosureUtilsTest;testSwitchClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testSwitchMapClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testTransformerClosure;1
org.apache.commons.collections4;ClosureUtilsTest;testWhileClosure;1
org.apache.commons.collections4;MockClosure;execute;1
org.apache.commons.collections4;MockClosure;reset;1
org.apache.commons.collections4;MockTransformer;transform;1
org.apache.commons.collections4;TestUtils;assertSameAfterSerialization;1
org.apache.commons.collections4;TestUtils;assertSameAfterSerialization;1
org.apache.commons.collections4;PredicateUtilsTest;generatePredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testAllPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testAllPredicateEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testAllPredicateEx2;1
org.apache.commons.collections4;PredicateUtilsTest;testAllPredicateEx3;1
org.apache.commons.collections4;PredicateUtilsTest;testAllPredicateEx4;1
org.apache.commons.collections4;PredicateUtilsTest;testAllPredicateEx5;1
org.apache.commons.collections4;PredicateUtilsTest;testAllPredicateEx6;1
org.apache.commons.collections4;PredicateUtilsTest;testAndPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testAndPredicateEx;1
org.apache.commons.collections4;PredicateUtilsTest;testAnyPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testAnyPredicateEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testAnyPredicateEx2;1
org.apache.commons.collections4;PredicateUtilsTest;testAnyPredicateEx3;1
org.apache.commons.collections4;PredicateUtilsTest;testAnyPredicateEx4;1
org.apache.commons.collections4;PredicateUtilsTest;testAnyPredicateEx5;1
org.apache.commons.collections4;PredicateUtilsTest;testAnyPredicateEx6;1
org.apache.commons.collections4;PredicateUtilsTest;testAsPredicateTransformer;1
org.apache.commons.collections4;PredicateUtilsTest;testAsPredicateTransformerEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testAsPredicateTransformerEx2;1
org.apache.commons.collections4;PredicateUtilsTest;testEitherPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testEitherPredicateEx;1
org.apache.commons.collections4;PredicateUtilsTest;testExceptionPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testFalsePredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testIdentityPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testInstanceOfPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testInvokerPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testInvokerPredicate2;1
org.apache.commons.collections4;PredicateUtilsTest;testInvokerPredicate2Ex1;1
org.apache.commons.collections4;PredicateUtilsTest;testInvokerPredicate2Ex2;1
org.apache.commons.collections4;PredicateUtilsTest;testInvokerPredicate2Ex3;1
org.apache.commons.collections4;PredicateUtilsTest;testInvokerPredicateEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testInvokerPredicateEx2;1
org.apache.commons.collections4;PredicateUtilsTest;testInvokerPredicateEx3;1
org.apache.commons.collections4;PredicateUtilsTest;testIsNotNullPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testNeitherPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testNeitherPredicateEx;1
org.apache.commons.collections4;PredicateUtilsTest;testNonePredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testNonePredicateEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testNonePredicateEx2;1
org.apache.commons.collections4;PredicateUtilsTest;testNonePredicateEx3;1
org.apache.commons.collections4;PredicateUtilsTest;testNonePredicateEx4;1
org.apache.commons.collections4;PredicateUtilsTest;testNonePredicateEx5;1
org.apache.commons.collections4;PredicateUtilsTest;testNonePredicateEx6;1
org.apache.commons.collections4;PredicateUtilsTest;testNotPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testNotPredicateEx;1
org.apache.commons.collections4;PredicateUtilsTest;testNullIsExceptionPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testNullIsExceptionPredicateEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testNullIsFalsePredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testNullIsFalsePredicateEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testNullIsTruePredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testNullIsTruePredicateEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testOnePredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testOnePredicateEx1;1
org.apache.commons.collections4;PredicateUtilsTest;testOnePredicateEx2;1
org.apache.commons.collections4;PredicateUtilsTest;testOnePredicateEx3;1
org.apache.commons.collections4;PredicateUtilsTest;testOnePredicateEx4;1
org.apache.commons.collections4;PredicateUtilsTest;testOnePredicateEx5;1
org.apache.commons.collections4;PredicateUtilsTest;testOnePredicateEx6;1
org.apache.commons.collections4;PredicateUtilsTest;testOrPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testOrPredicateEx;1
org.apache.commons.collections4;PredicateUtilsTest;testSingletonPatternInSerialization;2
org.apache.commons.collections4;PredicateUtilsTest;testTransformedPredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testTruePredicate;1
org.apache.commons.collections4;PredicateUtilsTest;testUniquePredicate;1
org.apache.commons.collections4;ArrayStackTest;getCompatibilityVersion;1
org.apache.commons.collections4;ArrayStackTest;makeObject;1
org.apache.commons.collections4;ArrayStackTest;testNewStack;1
org.apache.commons.collections4;ArrayStackTest;testPushPeekPop;1
org.apache.commons.collections4;ArrayStackTest;testSearch;1
org.apache.commons.collections4;MapPerformance;main;1
org.apache.commons.collections4;MapPerformance;test;2
org.apache.commons.collections4;MapPerformance;testAll;1
org.apache.commons.collections4;DummyMap;clear;1
org.apache.commons.collections4;DummyMap;containsKey;1
org.apache.commons.collections4;DummyMap;containsValue;1
org.apache.commons.collections4;DummyMap;entrySet;1
org.apache.commons.collections4;DummyMap;get;1
org.apache.commons.collections4;DummyMap;isEmpty;1
