Package;Class;Method;Cyclomatic Complexity
org.apache.commons.math4.core.jdkmath;JdkMathTest;checkMissingMethods;3
org.apache.commons.math4.core.jdkmath;JdkMathTest;compareClassMethods;4
org.apache.commons.math4.core.jdkmath;AccurateMath;doubleHighPart;3
org.apache.commons.math4.core.jdkmath;AccurateMath;cosh;7
org.apache.commons.math4.core.jdkmath;AccurateMath;sinh;10
org.apache.commons.math4.core.jdkmath;AccurateMath;tanh;8
org.apache.commons.math4.core.jdkmath;AccurateMath;acosh;1
org.apache.commons.math4.core.jdkmath;AccurateMath;asinh;7
org.apache.commons.math4.core.jdkmath;AccurateMath;atanh;7
org.apache.commons.math4.core.jdkmath;AccurateMath;signum;3
org.apache.commons.math4.core.jdkmath;AccurateMath;signum;3
org.apache.commons.math4.core.jdkmath;AccurateMath;nextUp;1
org.apache.commons.math4.core.jdkmath;AccurateMath;nextUp;1
org.apache.commons.math4.core.jdkmath;AccurateMath;nextDown;1
org.apache.commons.math4.core.jdkmath;AccurateMath;nextDown;1
org.apache.commons.math4.core.jdkmath;AccurateMath;exp;1
org.apache.commons.math4.core.jdkmath;AccurateMath;exp;13
org.apache.commons.math4.core.jdkmath;AccurateMath;expm1;1
org.apache.commons.math4.core.jdkmath;AccurateMath;expm1;9
org.apache.commons.math4.core.jdkmath;AccurateMath;log;1
org.apache.commons.math4.core.jdkmath;AccurateMath;log;21
org.apache.commons.math4.core.jdkmath;AccurateMath;log1p;6
org.apache.commons.math4.core.jdkmath;AccurateMath;log10;2
org.apache.commons.math4.core.jdkmath;AccurateMath;log;1
org.apache.commons.math4.core.jdkmath;AccurateMath;pow;23
org.apache.commons.math4.core.jdkmath;AccurateMath;pow;1
org.apache.commons.math4.core.jdkmath;AccurateMath;pow;3
org.apache.commons.math4.core.jdkmath;AccurateMath;polySine;1
org.apache.commons.math4.core.jdkmath;AccurateMath;polyCosine;1
org.apache.commons.math4.core.jdkmath;AccurateMath;sinQ;2
org.apache.commons.math4.core.jdkmath;AccurateMath;cosQ;1
org.apache.commons.math4.core.jdkmath;AccurateMath;tanQ;4
org.apache.commons.math4.core.jdkmath;AccurateMath;reducePayneHanek;39
org.apache.commons.math4.core.jdkmath;AccurateMath;sin;14
org.apache.commons.math4.core.jdkmath;AccurateMath;cos;11
org.apache.commons.math4.core.jdkmath;AccurateMath;tan;11
org.apache.commons.math4.core.jdkmath;AccurateMath;atan;1
org.apache.commons.math4.core.jdkmath;AccurateMath;atan;10
org.apache.commons.math4.core.jdkmath;AccurateMath;atan2;22
org.apache.commons.math4.core.jdkmath;AccurateMath;asin;7
org.apache.commons.math4.core.jdkmath;AccurateMath;acos;8
org.apache.commons.math4.core.jdkmath;AccurateMath;cbrt;5
org.apache.commons.math4.core.jdkmath;AccurateMath;toRadians;4
org.apache.commons.math4.core.jdkmath;AccurateMath;toDegrees;3
org.apache.commons.math4.core.jdkmath;AccurateMath;abs;1
org.apache.commons.math4.core.jdkmath;AccurateMath;abs;1
org.apache.commons.math4.core.jdkmath;AccurateMath;abs;1
org.apache.commons.math4.core.jdkmath;AccurateMath;abs;1
org.apache.commons.math4.core.jdkmath;AccurateMath;ulp;2
