Package,Class,Method,Parameters,Cyclomatic Complexity
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.ArrayStack, Method: empty, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.ArrayStack, Method: peek, Parameters: [], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.ArrayStack, Method: peek, Parameters: [final int n], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.ArrayStack, Method: pop, Parameters: [], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.ArrayStack, Method: push, Parameters: [final E item], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.ArrayStack, Method: search, Parameters: [final Object object], Cyclomatic Complexity: 3
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractBagDecorator, Method: add, Parameters: [final E object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractBagDecorator, Method: decorated, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractBagDecorator, Method: equals, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractBagDecorator, Method: getCount, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractBagDecorator, Method: hashCode, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractBagDecorator, Method: remove, Parameters: [final Object object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractBagDecorator, Method: uniqueSet, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractMapBag, Method: add, Parameters: [final E object], Cyclomatic Complexity: 1
