Elements
org.apache.commons.collections4.ArrayStack
Method: empty; Parameter types : ; Cyclomatic Complexity: 1
Method: peek; Parameter types : ; Cyclomatic Complexity: 2
Method: peek; Parameter types : int; Cyclomatic Complexity: 2
Method: pop; Parameter types : ; Cyclomatic Complexity: 2
Method: push; Parameter types : E; Cyclomatic Complexity: 1
Method: search; Parameter types : Object; Cyclomatic Complexity: 2
org.apache.commons.collections4.ArrayUtils
Method: contains; Parameter types : Object[], Object; Cyclomatic Complexity: 1
Method: indexOf; Parameter types : T[], Object; Cyclomatic Complexity: 1
Method: indexOf; Parameter types : Object[], Object, int; Cyclomatic Complexity: 4
org.apache.commons.collections4.bag.AbstractBagDecorator
Method: decorated; Parameter types : ; Cyclomatic Complexity: 1
Method: equals; Parameter types : Object; Cyclomatic Complexity: 1
Method: hashCode; Parameter types : ; Cyclomatic Complexity: 1
Method: getCount; Parameter types : Object; Cyclomatic Complexity: 1
Method: add; Parameter types : E, int; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object, int; Cyclomatic Complexity: 1
Method: uniqueSet; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bag.AbstractMapBag
Method: getMap; Parameter types : ; Cyclomatic Complexity: 1
Method: size; Parameter types : ; Cyclomatic Complexity: 1
Method: isEmpty; Parameter types : ; Cyclomatic Complexity: 1
Method: getCount; Parameter types : Object; Cyclomatic Complexity: 2
Method: contains; Parameter types : Object; Cyclomatic Complexity: 1
Method: containsAll; Parameter types : Collection<?>; Cyclomatic Complexity: 2
Method: containsAll; Parameter types : Bag<?>; Cyclomatic Complexity: 1
Method: iterator; Parameter types : ; Cyclomatic Complexity: 1
Method: add; Parameter types : E; Cyclomatic Complexity: 1
Method: add; Parameter types : E, int; Cyclomatic Complexity: 2
Method: addAll; Parameter types : Collection<? extends E>; Cyclomatic Complexity: 1
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 2
Method: remove; Parameter types : Object, int; Cyclomatic Complexity: 4
Method: removeAll; Parameter types : Collection<?>; Cyclomatic Complexity: 2
