Package,Class,Method,Parameters,Cyclomatic Complexity
org.apache.commons.collections4,IteratorUtils,asEnumeration,[final Iterator<? extends E> iterator],1
org.apache.commons.collections4,MultiSetUtils,emptyMultiSet,[],1
org.apache.commons.collections4.set,PredicatedSortedSet,predicatedSortedSet,[final SortedSet<E> set, final Predicate<? super E> predicate],1
org.apache.commons.collections4.functors,FalsePredicate,falsePredicate,[],1
org.apache.commons.collections4.iterators,FilterListIterator,setPredicate,[final Predicate<? super E> predicate],1
org.apache.commons.collections4.list,AVLNode,setOffset,[final AVLNode<E> node, final int newOffset],2
org.apache.commons.collections4,MapUtils,lazySortedMap,[final SortedMap<K, V> map, final Transformer<? super K, ? extends V> transformerFactory],1
org.apache.commons.collections4.bloomfilter,BitMapProducer,fromBitMapArray,[final long... bitMaps],5
org.apache.commons.collections4,ComparatorUtils,chainedComparator,[final Collection<Comparator<E>> comparators],1
org.apache.commons.collections4.iterators,EmptyOrderedIterator,emptyOrderedIterator,[],1
org.apache.commons.collections4,CollectionUtils,sizeIsEmpty,[final Object object],11
org.apache.commons.collections4.bloomfilter,SparseBloomFilter,contains,[final BitMapProducer bitMapProducer],1
org.apache.commons.collections4.list,CursorableLinkedList,updateNode,[final Node<E> node, final E value],1
org.apache.commons.collections4.iterators,LoopingListIterator,size,[],1
org.apache.commons.collections4,IteratorUtils,matchesAny,[final Iterator<E> iterator, final Predicate<? super E> predicate],1
org.apache.commons.collections4.map,LinkedMapList,listIterator,[final int fromIndex],1
org.apache.commons.collections4.collection,TransformedCollection,transformedCollection,[final Collection<E> collection, final Transformer<? super E, ? extends E> transformer],4
org.apache.commons.collections4.collection,AbstractCollectionDecorator,setCollection,[final Collection<E> coll],1
org.apache.commons.collections4,CollectionUtils,emptyCollection,[],1
org.apache.commons.collections4,SetUtils,emptySet,[],1
org.apache.commons.collections4.iterators,CollatingIterator,addIterator,[final Iterator<? extends E> iterator],1
org.apache.commons.collections4.iterators,CollatingIterator,least,[],7
org.apache.commons.collections4,LcsVisitor,getSubSequence,[],1
org.apache.commons.collections4.functors,ExceptionClosure,exceptionClosure,[],1
org.apache.commons.collections4,IteratorUtils,filteredListIterator,[final ListIterator<? extends E> listIterator, final Predicate<? super E> predicate],1
org.apache.commons.collections4,CollectionUtils,addIgnoreNull,[final Collection<T> collection, final T object],2
org.apache.commons.collections4.list,AVLNode,getHeight,[final AVLNode<E> node],3
org.apache.commons.collections4.bloomfilter,SetOperations,jaccardDistance,[final BitMapProducer first, final BitMapProducer second],1
org.apache.commons.collections4.bloomfilter,BitMapProducer,forEachBitMapPair,[final BitMapProducer other, final LongBiPredicate func],2
org.apache.commons.collections4.bidimap,TreeBidiMap,doToString,[final DataElement dataElement],8
