Package;Class;Method;TCC
org.apache.commons.collections4;GuavaTestlibTest;GuavaTestlibTest;0.0
org.apache.commons.collections4;ListUtilsTest;ListUtilsTest;0.013227513227513227
org.apache.commons.collections4;MultiSetUtilsTest;MultiSetUtilsTest;0.0
org.apache.commons.collections4;BulkTest;BulkTest;0.0
org.apache.commons.collections4.trie;PatriciaTrieTest;PatriciaTrieTest;0.08888888888888889
org.apache.commons.collections4.trie;UnmodifiableTrieTest;UnmodifiableTrieTest;0.0
org.apache.commons.collections4.trie;PatriciaTrie2Test;PatriciaTrie2Test;0.0
org.apache.commons.collections4.sequence;SequencesComparatorTest;SequencesComparatorTest;0.19047619047619047
org.apache.commons.collections4;ClosureUtilsTest;ClosureUtilsTest;0.030303030303030304
org.apache.commons.collections4;TestUtils;TestUtils;0.0
org.apache.commons.collections4;PredicateUtilsTest;PredicateUtilsTest;0.0
org.apache.commons.collections4;ArrayStackTest;ArrayStackTest;0.3
org.apache.commons.collections4;MapPerformance;MapPerformance;0.0
org.apache.commons.collections4;BagUtilsTest;BagUtilsTest;0.0
org.apache.commons.collections4.comparators;AbstractNullComparatorTest;AbstractNullComparatorTest;1.0
org.apache.commons.collections4.comparators;TransformingComparatorTest;TransformingComparatorTest;0.0
org.apache.commons.collections4.comparators;FixedOrderComparatorTest;FixedOrderComparatorTest;0.08888888888888889
org.apache.commons.collections4.comparators;AbstractComparatorTest;AbstractComparatorTest;0.01282051282051282
org.apache.commons.collections4.comparators;ComparatorChainTest;ComparatorChainTest;0.10714285714285714
org.apache.commons.collections4.comparators;ComparableComparatorTest;ComparableComparatorTest;0.0
org.apache.commons.collections4.comparators;ReverseComparatorTest;ReverseComparatorTest;0.0
org.apache.commons.collections4.comparators;BooleanComparatorTest;BooleanComparatorTest;0.0
org.apache.commons.collections4;MockTestCase;MockTestCase;0.0
org.apache.commons.collections4;SetUtilsTest;SetUtilsTest;0.01282051282051282
org.apache.commons.collections4.multiset;AbstractMultiSetTest;AbstractMultiSetTest;0.4211822660098522
